* Measurement data measured by REW V5.20.9
* Source: C:\Users\Aapeli\Desktop\Harman 2018.txt
* Format: Comma/Tab/Space delimited data
* Dated: 27.12.2022 18:42:50
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\Aapeli\Desktop\Harman 2018.txt Format: Comma/Tab/Space delimited data 526 values loaded, 10 Hz to 19 895 Hz log spaced 
* Measurement: Harman 2018
* Smoothing: 1/48 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
6700.000000	64.267	0.0000
6900.000000	64.002	0.0000
7100.000000	63.738	0.0000
7300.000000	63.436	0.0000
7500.000000	63.143	0.0000
7750.000000	62.810	0.0000
8000.000000	62.489	0.0000
8250.000000	62.140	0.0000
8500.000000	61.797	0.0000
8750.000000	61.425	0.0000
9000.000000	61.055	0.0000
9250.000000	60.655	0.0000
9500.000000	60.256	0.0000
9750.000000	59.805	0.0000
10000.000000	59.362	0.0000
10300.000000	58.858	0.0000
10600.000000	58.364	0.0000
10900.000000	57.824	0.0000
11200.000000	57.287	0.0000
11500.000000	56.713	0.0000
11800.000000	56.158	0.0000
12200.000000	55.508	0.0000
12500.000000	55.041	0.0000
12800.000000	54.588	0.0000
13200.000000	54.009	0.0000
13600.000000	53.523	0.0000
14000.000000	53.067	0.0000
14500.000000	52.577	0.0000
15000.000000	52.101	0.0000
15500.000000	51.505	0.0000
16000.000000	50.892	0.0000
16500.000000	50.023	0.0000
17000.000000	49.107	0.0000
17500.000000	47.768	0.0000
18000.000000	46.403	0.0000
18500.000000	44.381	0.0000
19000.000000	42.311	0.0000
19500.000000	39.623	0.0000

