* Measurement data measured by REW V5.20.9
* Format: Comma/Tab/Space delimited data
* Dated: 27.12.2022 18:42:50
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Measurement: Harman 2018
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
14170.637695	52.893	0.0000
14273.324219	52.794	0.0000
14376.754883	52.694	0.0000
14480.934570	52.595	0.0000
14585.869141	52.496	0.0000
14691.564453	52.397	0.0000
14798.025391	52.302	0.0000
14905.257812	52.201	0.0000
15013.267578	52.086	0.0000
15122.059570	51.962	0.0000
15231.640625	51.831	0.0000
15342.015625	51.695	0.0000
15453.190430	51.561	0.0000
15565.170898	51.428	0.0000
15677.962891	51.302	0.0000
15791.572266	51.170	0.0000
15906.004883	51.023	0.0000
16021.266602	50.860	0.0000
16137.363281	50.669	0.0000
16254.300781	50.464	0.0000
16372.085938	50.253	0.0000
16490.724609	50.039	0.0000
16610.222656	49.834	0.0000
16730.587891	49.625	0.0000
16851.824219	49.409	0.0000
16973.939453	49.166	0.0000
17096.939453	48.868	0.0000
17220.830078	48.540	0.0000
17345.619141	48.197	0.0000
17471.312500	47.846	0.0000
17597.916016	47.504	0.0000
17725.437500	47.161	0.0000
17853.882812	46.833	0.0000
17983.259766	46.461	0.0000
18113.574219	45.963	0.0000
18244.832031	45.417	0.0000
18377.041016	44.880	0.0000
18510.208984	44.340	0.0000
18644.341797	43.813	0.0000
18779.447266	43.270	0.0000
18915.531250	42.691	0.0000
19052.601562	42.059	0.0000
19190.664062	41.334	0.0000
19329.726562	40.565	0.0000
19469.796875	39.791	0.0000
19610.882812	39.009	0.0000
19752.992188	38.235	0.0000
19896.130859	0.000	0.0000

