* Measurement data measured by REW V5.20.9
* Format: Comma/Tab/Space delimited data
* Dated: 27.12.2022 18:42:50
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Measurement: Harman 2018
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
94.447968	61.386	0.0000
95.132378	61.353	0.0000
95.821747	61.319	0.0000
96.516113	61.283	0.0000
97.215508	61.248	0.0000
97.919968	61.212	0.0000
98.629539	61.177	0.0000
99.344254	61.142	0.0000
100.064140	61.107	0.0000
100.789246	61.072	0.0000
101.519608	61.038	0.0000
102.255264	61.003	0.0000
102.996246	60.968	0.0000
103.742599	60.933	0.0000
104.494362	60.899	0.0000
105.251572	60.864	0.0000
106.014267	60.829	0.0000
106.782494	60.793	0.0000
107.556282	60.756	0.0000
108.335678	60.719	0.0000
109.120720	60.683	0.0000
109.911453	60.646	0.0000
110.707916	60.610	0.0000
111.510155	60.572	0.0000
112.318207	60.534	0.0000
113.132111	60.494	0.0000
113.951912	60.455	0.0000
114.777657	60.414	0.0000
115.609383	60.374	0.0000
116.447136	60.333	0.0000
117.290962	60.293	0.0000
118.140900	60.254	0.0000
118.996994	60.217	0.0000
119.859299	60.181	0.0000
120.727852	60.145	0.0000
121.602699	60.108	0.0000
122.483879	60.072	0.0000
123.371445	60.036	0.0000
124.265442	60.000	0.0000
125.165924	59.963	0.0000
126.072929	59.926	0.0000
126.986504	59.889	0.0000
127.906700	59.852	0.0000
128.833572	59.815	0.0000
129.767151	59.778	0.0000
130.707504	59.740	0.0000
131.654663	59.704	0.0000
132.608688	59.669	0.0000
133.569626	59.635	0.0000
134.537521	59.602	0.0000
135.512436	59.569	0.0000
136.494415	59.536	0.0000
137.483505	59.503	0.0000
138.479767	59.469	0.0000
139.483246	59.437	0.0000
140.494003	59.407	0.0000
141.512085	59.379	0.0000
142.537537	59.352	0.0000
143.570419	59.325	0.0000
144.610794	59.298	0.0000
145.658707	59.271	0.0000
146.714203	59.243	0.0000
147.777359	59.216	0.0000
148.848221	59.189	0.0000
149.926834	59.161	0.0000
151.013260	59.133	0.0000
152.107559	59.104	0.0000
153.209793	59.075	0.0000
154.320007	59.046	0.0000
155.438278	59.016	0.0000
156.564651	58.987	0.0000
157.699188	58.958	0.0000
158.841934	58.929	0.0000
159.992966	58.900	0.0000
161.152344	58.873	0.0000
162.320114	58.845	0.0000
163.496353	58.818	0.0000
164.681122	58.790	0.0000
165.874466	58.763	0.0000
167.076462	58.736	0.0000
168.287170	58.709	0.0000
169.506653	58.681	0.0000
170.734970	58.653	0.0000
171.972183	58.625	0.0000
173.218369	58.598	0.0000
174.473587	58.570	0.0000
175.737900	58.542	0.0000
177.011368	58.514	0.0000
178.294067	58.486	0.0000
179.586060	58.459	0.0000
180.887421	58.433	0.0000
182.198212	58.407	0.0000
183.518494	58.382	0.0000
184.848343	58.356	0.0000
186.187836	58.331	0.0000
187.537033	58.305	0.0000
188.896011	58.281	0.0000
190.264832	58.257	0.0000
191.643570	58.235	0.0000
193.032303	58.213	0.0000
194.431091	58.192	0.0000
195.840012	58.171	0.0000
197.259155	58.150	0.0000
198.688583	58.130	0.0000
200.128357	58.112	0.0000
201.578568	58.096	0.0000
203.039291	58.084	0.0000
204.510605	58.072	0.0000
205.992569	58.060	0.0000
207.485275	58.047	0.0000
208.988800	58.034	0.0000
210.503220	58.022	0.0000
212.028610	58.013	0.0000
213.565063	58.005	0.0000
215.112640	57.999	0.0000
216.671432	57.994	0.0000
218.241516	57.989	0.0000
219.822983	57.984	0.0000
221.415909	57.978	0.0000
223.020386	57.973	0.0000
224.636490	57.972	0.0000
226.264297	57.972	0.0000
227.903900	57.973	0.0000
229.555389	57.975	0.0000
231.218842	57.976	0.0000
232.894348	57.977	0.0000
234.582001	57.979	0.0000
236.281876	57.983	0.0000
237.994064	57.989	0.0000
239.718674	57.996	0.0000
241.455780	58.003	0.0000
243.205475	58.011	0.0000
244.967834	58.018	0.0000
246.742966	58.026	0.0000
248.530960	58.034	0.0000
250.331924	58.044	0.0000
252.145935	58.055	0.0000
253.973083	58.067	0.0000
255.813477	58.079	0.0000
257.667206	58.092	0.0000
259.534363	58.104	0.0000
261.415070	58.116	0.0000
263.309387	58.128	0.0000
265.217438	58.142	0.0000
267.139313	58.157	0.0000
269.075104	58.173	0.0000
271.024933	58.189	0.0000
272.988892	58.205	0.0000
274.967072	58.220	0.0000
276.959595	58.236	0.0000
278.966553	58.252	0.0000
280.988068	58.267	0.0000
283.024231	58.281	0.0000
285.075134	58.294	0.0000
287.140900	58.307	0.0000
289.221649	58.321	0.0000
291.317474	58.334	0.0000
293.428467	58.348	0.0000
295.554779	58.361	0.0000
297.696503	58.375	0.0000
299.853729	58.391	0.0000
302.026581	58.408	0.0000
304.215179	58.426	0.0000
306.419647	58.446	0.0000
308.640076	58.465	0.0000
310.876617	58.485	0.0000
313.129364	58.504	0.0000
315.398438	58.522	0.0000
317.683929	58.538	0.0000
319.985992	58.554	0.0000
322.304749	58.569	0.0000
324.640289	58.584	0.0000
326.992767	58.599	0.0000
329.362305	58.614	0.0000
331.748993	58.629	0.0000
334.152985	58.644	0.0000
336.574402	58.659	0.0000
339.013367	58.673	0.0000
341.470001	58.686	0.0000
343.944427	58.700	0.0000
346.436798	58.714	0.0000
348.947235	58.728	0.0000
351.475861	58.742	0.0000
354.022797	58.755	0.0000
356.588196	58.767	0.0000
359.172180	58.779	0.0000
361.774902	58.791	0.0000
364.396484	58.803	0.0000
367.037048	58.815	0.0000
369.696747	58.827	0.0000
372.375732	58.839	0.0000
375.074127	58.850	0.0000
377.792084	58.859	0.0000
380.529724	58.868	0.0000
383.287201	58.877	0.0000
386.064667	58.886	0.0000
388.862244	58.895	0.0000
391.680115	58.904	0.0000
394.518402	58.913	0.0000
397.377258	58.922	0.0000
400.256805	58.930	0.0000
403.157227	58.938	0.0000
406.078674	58.945	0.0000
409.021301	58.952	0.0000
411.985229	58.959	0.0000
414.970642	58.966	0.0000
417.977692	58.973	0.0000
421.006531	58.981	0.0000
424.057312	58.988	0.0000
427.130219	58.996	0.0000
430.225372	59.005	0.0000
433.342957	59.014	0.0000
436.483124	59.023	0.0000
439.646057	59.032	0.0000
442.831909	59.040	0.0000
446.040863	59.049	0.0000
449.273071	59.058	0.0000
452.528687	59.068	0.0000
455.807892	59.079	0.0000
459.110870	59.090	0.0000
462.437775	59.100	0.0000
465.788788	59.111	0.0000
469.164093	59.121	0.0000
472.563843	59.132	0.0000
475.988220	59.143	0.0000
479.437439	59.155	0.0000
482.911652	59.166	0.0000
486.411041	59.177	0.0000
489.935791	59.188	0.0000
493.486053	59.200	0.0000
497.062042	59.211	0.0000
500.663971	59.222	0.0000
504.291992	59.234	0.0000
507.946289	59.247	0.0000
511.627075	59.259	0.0000
515.334534	59.272	0.0000
519.068848	59.284	0.0000
522.830261	59.297	0.0000
526.618896	59.309	0.0000
530.434998	59.322	0.0000
534.278748	59.335	0.0000
538.150330	59.348	0.0000
542.049988	59.361	0.0000
545.977905	59.374	0.0000
549.934265	59.388	0.0000
553.919312	59.401	0.0000
557.933228	59.413	0.0000
561.976257	59.425	0.0000
566.048584	59.436	0.0000
570.150391	59.446	0.0000
574.281921	59.456	0.0000
578.443420	59.467	0.0000
582.635071	59.477	0.0000
586.857056	59.488	0.0000
591.109680	59.498	0.0000
595.393127	59.509	0.0000
599.707581	59.520	0.0000
604.053284	59.532	0.0000
608.430481	59.545	0.0000
612.839417	59.559	0.0000
617.280273	59.572	0.0000
621.753357	59.586	0.0000
626.258850	59.599	0.0000
630.796997	59.612	0.0000
635.368042	59.623	0.0000
639.972168	59.633	0.0000
644.609680	59.643	0.0000
649.280762	59.654	0.0000
653.985718	59.664	0.0000
658.724792	59.675	0.0000
663.498169	59.686	0.0000
668.306152	59.696	0.0000
673.148987	59.706	0.0000
678.026917	59.715	0.0000
682.940186	59.724	0.0000
687.889038	59.732	0.0000
692.873779	59.740	0.0000
697.894653	59.749	0.0000
702.951904	59.758	0.0000
708.045776	59.767	0.0000
713.176575	59.775	0.0000
