* Measurement data measured by REW V5.20.9
* Source: Frequency Response Averaged data
* Format: Averaged data produced from the rms magnitudes of lokakuuta 3, lokakuuta 3, lokakuuta 3, lokakuuta 3, lokakuuta 3, lokakuuta 3
* Dated: 3.10.2022 17:55:54
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Averaged data produced from the rms magnitudes of lokakuuta 3, lokakuuta 3, lokakuuta 3, lokakuuta 3, lokakuuta 3, lokakuuta 3
* Measurement: TR-X00 PH Left AVG Tiukka
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz)	SPL(dB)
136.596689	84.463
136.962900	84.455
137.329111	84.447
137.695322	84.440
138.061533	84.433
138.427744	84.426
138.793955	84.420
139.160166	84.413
139.526377	84.405
139.892588	84.397
140.258799	84.389
140.625010	84.381
140.991221	84.373
141.357432	84.365
141.723643	84.358
142.089854	84.350
142.456065	84.343
142.822276	84.337
143.188487	84.329
143.554698	84.322
143.920909	84.314
144.287119	84.307
144.653330	84.299
145.019541	84.291
145.385752	84.283
145.751963	84.275
146.118174	84.268
146.484385	84.260
146.850596	84.253
147.216807	84.247
147.583018	84.240
147.949229	84.235
148.315440	84.229
148.681651	84.225
149.047862	84.220
149.414073	84.215
149.780284	84.210
150.146495	84.205
150.512706	84.200
150.878917	84.194
151.245128	84.188
151.611339	84.183
151.977550	84.177
152.343761	84.171
152.709972	84.166
153.076183	84.161
153.442394	84.156
153.808605	84.151
154.174816	84.146
154.541027	84.140
154.907238	84.135
155.273448	84.129
155.639659	84.124
156.005870	84.119
156.372081	84.114
156.738292	84.109
157.104503	84.105
157.470714	84.102
157.836925	84.098
158.203136	84.095
158.569347	84.092
158.935558	84.089
159.301769	84.085
159.667980	84.081
160.034191	84.076
160.400402	84.071
160.766613	84.066
161.132824	84.061
161.499035	84.056
161.865246	84.051
162.231457	84.047
162.597668	84.043
162.963879	84.038
163.330090	84.034
163.696301	84.031
164.062512	84.027
164.428723	84.023
164.794934	84.019
165.161145	84.014
165.527356	84.010
165.893567	84.005
166.259778	84.000
166.625988	83.995
166.992199	83.990
167.358410	83.986
167.724621	83.982
168.090832	83.978
168.457043	83.975
168.823254	83.972
169.189465	83.968
169.555676	83.965
169.921887	83.961
170.288098	83.956
170.654309	83.951
171.020520	83.946
171.386731	83.940
171.752942	83.935
172.119153	83.930
172.485364	83.925
172.851575	83.920
173.217786	83.915
173.583997	83.909
173.950208	83.903
174.316419	83.896
174.682630	83.889
175.048841	83.881
175.415052	83.874
175.781263	83.867
176.147474	83.861
176.513685	83.855
176.879896	83.851
177.246107	83.847
177.612318	83.844
177.978528	83.841
178.344739	83.838
178.710950	83.834
179.077161	83.831
179.443372	83.828
179.809583	83.824
180.175794	83.821
180.542005	83.818
180.908216	83.814
181.274427	83.810
181.640638	83.806
182.006849	83.802
182.373060	83.797
182.739271	83.793
183.105482	83.788
183.471693	83.784
183.837904	83.779
184.204115	83.774
184.570326	83.770
184.936537	83.765
185.302748	83.760
185.668959	83.756
186.035170	83.751
186.401381	83.747
186.767592	83.742
187.133803	83.738
187.500014	83.734
187.866225	83.729
188.232436	83.725
188.598647	83.721
188.964857	83.717
189.331068	83.713
189.697279	83.708
190.063490	83.703
190.429701	83.698
190.795912	83.693
191.162123	83.688
191.528334	83.683
191.894545	83.678
192.260756	83.673
192.626967	83.669
192.993178	83.665
193.359389	83.660
193.725600	83.656
194.091811	83.652
194.458022	83.648
194.824233	83.644
195.190444	83.640
195.556655	83.636
195.922866	83.632
196.289077	83.627
196.655288	83.623
197.021499	83.618
197.387710	83.613
197.753921	83.608
198.120132	83.603
198.486343	83.598
198.852554	83.593
199.218765	83.587
199.584976	83.582
199.951187	83.576
200.317397	83.570
200.683608	83.564
201.049819	83.558
201.416030	83.552
201.782241	83.547
202.148452	83.541
202.514663	83.536
202.880874	83.531
203.247085	83.526
203.613296	83.522
203.979507	83.518
204.345718	83.514
204.711929	83.511
205.078140	83.507
205.444351	83.504
205.810562	83.500
206.176773	83.496
206.542984	83.492
206.909195	83.488
207.275406	83.484
207.641617	83.479
208.007828	83.475
208.374039	83.470
208.740250	83.464
209.106461	83.458
209.472672	83.452
209.838883	83.446
210.205094	83.440
210.571305	83.434
210.937516	83.428
211.303726	83.423
211.669937	83.418
212.036148	83.414
212.402359	83.409
212.768570	83.405
213.134781	83.401
213.500992	83.397
213.867203	83.393
214.233414	83.388
214.599625	83.384
214.965836	83.380
215.332047	83.376
215.698258	83.372
216.064469	83.368
216.430680	83.363
216.796891	83.359
217.163102	83.354
217.529313	83.350
217.895524	83.345
218.261735	83.340
218.627946	83.336
218.994157	83.331
219.360368	83.326
219.726579	83.321
220.092790	83.316
220.459001	83.311
220.825212	83.306
221.191423	83.301
221.557634	83.296
221.923845	83.290
222.290056	83.285
222.656266	83.280
223.022477	83.274
223.388688	83.269
223.754899	83.263
224.121110	83.257
224.487321	83.251
224.853532	83.245
225.219743	83.240
225.585954	83.234
225.952165	83.229
226.318376	83.224
226.684587	83.219
227.050798	83.215
227.417009	83.210
227.783220	83.206
228.149431	83.202
228.515642	83.198
228.881853	83.194
229.248064	83.191
229.614275	83.188
229.980486	83.184
230.346697	83.181
230.712908	83.178
231.079119	83.174
231.445330	83.171
231.811541	83.167
232.177752	83.163
232.543963	83.159
232.910174	83.155
233.276385	83.151
233.642595	83.146
234.008806	83.142
234.375017	83.137
234.741228	83.132
235.107439	83.127
235.473650	83.122
235.839861	83.117
236.206072	83.112
236.572283	83.107
236.938494	83.102
237.304705	83.097
237.670916	83.092
238.037127	83.087
238.403338	83.082
238.769549	83.077
239.135760	83.072
239.501971	83.067
239.868182	83.062
240.234393	83.058
240.600604	83.053
240.966815	83.048
241.333026	83.043
241.699237	83.039
242.065448	83.034
242.431659	83.029
242.797870	83.024
243.164081	83.019
243.530292	83.013
243.896503	83.008
244.262714	83.002
244.628925	82.997
244.995135	82.991
245.361346	82.985
245.727557	82.979
246.093768	82.974
246.459979	82.968
246.826190	82.962
247.192401	82.955
247.558612	82.949
247.924823	82.943
248.291034	82.936
248.657245	82.930
249.023456	82.923
249.389667	82.916
249.755878	82.910
250.122089	82.903
250.488300	82.897
250.854511	82.891
251.220722	82.884
251.586933	82.878
251.953144	82.873
252.319355	82.867
252.685566	82.863
253.051777	82.858
253.417988	82.854
253.784199	82.851
254.150410	82.848
254.516621	82.845
254.882832	82.843
255.249043	82.841
255.615254	82.839
255.981465	82.838
256.347675	82.837
256.713886	82.836
257.080097	82.835
257.446308	82.834
257.812519	82.834
258.178730	82.833
258.544941	82.832
258.911152	82.831
259.277363	82.830
259.643574	82.829
260.009785	82.828
260.375996	82.826
260.742207	82.825
261.108418	82.823
261.474629	82.821
261.840840	82.819
262.207051	82.816
262.573262	82.814
262.939473	82.811
