* Measurement data measured by REW V5.20.9
* Source: Frequency Response Averaged data
* Format: Averaged data produced from the rms magnitudes of lokakuuta 3, lokakuuta 3, lokakuuta 3, lokakuuta 3, lokakuuta 3, lokakuuta 3, lokakuuta 3, lokakuuta 3, lokakuuta 3
* Dated: 3.10.2022 18:01:27
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Averaged data produced from the rms magnitudes of lokakuuta 3, lokakuuta 3, lokakuuta 3, lokakuuta 3, lokakuuta 3, lokakuuta 3, lokakuuta 3, lokakuuta 3, lokakuuta 3
* Measurement: TR-X00 PH Right AVG Tiukka
* Smoothing: 1/48 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz)	SPL(dB)
134.399423	85.888
134.765634	85.881
135.131845	85.875
135.498056	85.868
135.864267	85.862
136.230478	85.856
136.596689	85.851
136.962900	85.844
137.329111	85.837
137.695322	85.829
138.061533	85.821
138.427744	85.812
138.793955	85.803
139.160166	85.794
139.526377	85.786
139.892588	85.778
140.258799	85.770
140.625010	85.763
140.991221	85.755
141.357432	85.747
141.723643	85.739
142.089854	85.730
142.456065	85.722
142.822276	85.713
143.188487	85.705
143.554698	85.697
143.920909	85.689
144.287119	85.681
144.653330	85.673
145.019541	85.665
145.385752	85.656
145.751963	85.648
146.118174	85.640
146.484385	85.632
146.850596	85.625
147.216807	85.618
147.583018	85.611
147.949229	85.605
148.315440	85.598
148.681651	85.591
149.047862	85.584
149.414073	85.576
149.780284	85.568
150.146495	85.560
150.512706	85.551
150.878917	85.543
151.245128	85.535
151.611339	85.527
151.977550	85.520
152.343761	85.513
152.709972	85.505
153.076183	85.499
153.442394	85.492
153.808605	85.486
154.174816	85.480
154.541027	85.474
154.907238	85.470
155.273448	85.465
155.639659	85.461
156.005870	85.456
156.372081	85.452
156.738292	85.447
157.104503	85.441
157.470714	85.435
157.836925	85.428
158.203136	85.421
158.569347	85.413
158.935558	85.406
159.301769	85.398
159.667980	85.391
160.034191	85.385
160.400402	85.378
160.766613	85.371
161.132824	85.364
161.499035	85.356
161.865246	85.349
162.231457	85.342
162.597668	85.334
162.963879	85.327
163.330090	85.320
163.696301	85.314
164.062512	85.308
164.428723	85.302
164.794934	85.297
165.161145	85.291
165.527356	85.287
165.893567	85.282
166.259778	85.277
166.625988	85.273
166.992199	85.268
167.358410	85.263
167.724621	85.258
168.090832	85.253
168.457043	85.248
168.823254	85.243
169.189465	85.237
169.555676	85.232
169.921887	85.227
170.288098	85.221
170.654309	85.216
171.020520	85.210
171.386731	85.204
171.752942	85.197
172.119153	85.190
